3938 3948
992 158 11
668 1898 10
466 1815 19
174 3459 14
1297 304 14
443 1999 8
3155 2369 9
3587 908 19
2752 1169 12
3781 571 5
2287 2241 6
429 965 12
3057 1857 14
1489 3308 10
1403 2302 16
702 452 5
1521 3434 8
1325 3112 8
533 739 10
2769 911 7
2821 2122 20
1975 1954 5
1122 912 12
2876 1486 18
2551 1484 15
3002 1626 18
2085 2271 11
2757 45 20
2952 3140 5
1455 3904 14
3290 2307 16
2939 1315 19
301 3561 7
3634 1069 10
3197 713 20
2608 2295 8
728 3652 20
3017 1104 7
2971 2810 17
552 1264 20
1551 137 12
273 1111 12
3126 1631 17
756 2123 5
9 345 18
1718 2558 11
1529 1336 14
1140 2794 7
2429 1811 13
2743 3651 20
990 178 5
30 3059 13
1905 3406 14
2745 2244 17
1159 509 14
11 3813 12
3677 1298 12
93 2571 10
2993 833 12
3510 2729 8
3369 469 11
1399 1674 16
1347 3576 15
2754 1615 8
2375 3862 15
3310 3415 12
2281 41 14
2261 2974 11
2618 3123 18
1882 871 6
803 1887 18
3056 184 7
2696 3849 19
802 1781 7
1404 2391 11
1588 886 5
469 2191 16
108 905 18
1672 118 10
1376 1700 10
2585 2757 8
2389 2175 10
877 1286 10
1836 3422 18
1458 568 13
2768 774 17
2805 2418 19
3724 3031 15
1311 1461 10
2341 655 5
1968 2220 7
2508 2847 5
1386 1581 16
2468 2783 13
629 58 7
3791 1115 6
1743 2869 9
3829 876 5
699 376 19
507 3098 15
2127 244 16
314 2998 7
2758 473 10
706 347 5
2245 2410 8
2941 2358 12
2368 2360 12
2923 2162 18
32 3931 20
823 368 16
1381 2092 15
3437 560 13
2674 2791 6
2454 877 17
1691 1265 20
134 606 11
573 945 14
3885 1061 12
1431 3817 19
1908 1798 16
739 888 9
3149 1328 8
1555 2461 5
678 3480 18
516 3064 20
1210 2540 12
2837 3386 18
1177 1875 11
1819 1380 11
1370 338 8
1382 3919 14
2713 1010 5
491 3503 17
521 1175 18
2222 3922 12
2399 296 15
1480 286 18
2382 2670 8
3448 3801 6
1441 679 8
1820 2954 16
1440 2470 11
3263 2982 8
1453 1284 8
1009 3523 20
1564 2065 7
878 1604 8
1737 3139 10
2640 1563 20
3541 3730 19
3505 2778 17
2514 2759 17
3264 2409 15
951 2479 15
3566 2625 8
1526 2480 16
1784 1 20
1188 2442 6
812 1244 17
1110 3408 18
1509 3496 9
3628 20 18
3078 629 9
3684 939 17
402 2072 5
3916 388 10
2210 2516 9
2269 2008 14
2262 484 14
1013 2221 11
3260 690 13
3556 19 19
410 2300 9
904 3069 17
1118 818 12
3679 1782 16
2731 1679 16
447 3757 12
2430 2179 13
2559 456 8
3499 2877 13
587 3057 9
3703 2913 7
431 1001 12
3019 2202 18
3674 1960 18
1433 1912 16
3249 10 14
3171 2873 20
1540 1148 12
2897 2795 8
3649 353 11
3535 2609 18
3482 1986 8
2219 3397 10
1400 1176 7
1258 639 15
2141 3731 5
2775 660 7
300 2287 20
294 2801 12
1994 449 15
377 2294 7
1250 2819 14
3731 2960 13
283 3646 17
1697 1477 15
151 3643 19
2356 1007 20
392 1167 7
2642 2439 7
3645 2920 18
1610 3595 7
550 2485 18
1163 2173 6
3601 1545 16
1682 1431 8
679 3021 9
2080 1050 8
247 1723 19
3250 3467 12
2787 3034 16
2506 1353 18
524 34 11
148 3167 13
3555 3924 18
3013 557 6
388 3224 13
929 2070 13
665 156 12
3572 1724 18
3364 3614 10
100 2421 6
1187 3594 9
446 1009 19
1371 768 6
3089 2835 10
3871 346 19
3776 223 12
3658 1776 16
1513 766 20
3526 561 14
3261 1892 13
626 2829 5
3653 3759 17
3394 3823 16
2058 1636 7
565 439 13
2829 1873 16
2406 49 19
2153 1878 9
1259 3225 13
2378 1777 7
1296 3157 5
180 3473 20
1148 1481 5
2901 1236 20
1959 168 8
17 211 11
3880 170 18
998 2650 16
2679 3851 12
1857 330 16
2231 1278 20
2067 3022 19
1677 2061 12
1966 303 6
1575 816 19
2962 369 16
3597 3725 6
741 1827 15
3802 2534 16
453 3478 20
1608 3413 15
1530 2443 19
1448 2081 10
3254 989 13
3478 3580 6
3849 2093 16
1895 786 5
23 3803 14
1993 1649 6
2842 151 14
2998 3341 8
1828 3629 19
2029 3648 6
564 711 10
1420 756 15
190 205 15
2193 383 18
3889 1543 6
3536 1572 17
1943 191 7
591 1181 5
1171 2855 13
3841 3644 12
1757 3366 16
2150 2944 20
1505 355 16
2148 2772 15
3807 685 11
63 3883 9
1710 3370 12
1426 1603 13
349 3338 8
1558 2973 7
118 341 9
2283 230 20
3922 3188 7
2911 2832 12
3415 1694 5
1918 3752 14
1763 800 13
917 856 12
2607 1992 6
356 2019 17
3436 1740 19
3247 2882 20
3554 3081 17
1294 3474 13
286 2348 13
2546 1891 6
854 3703 20
2149 2915 15
1143 143 10
91 3078 8
2048 1515 5
2419 1806 18
1484 2895 18
1927 2713 12
1740 1650 11
2321 3433 9
1842 1793 15
968 1948 5
3267 1269 13
855 2126 20
1825 1607 10
2277 1964 12
3576 2502 9
2773 3356 11
414 1159 6
829 746 7
1328 1233 5
313 2948 17
34 3582 7
2394 3934 15
592 2362 19
2634 354 17
3180 2288 16
3334 925 13
3429 1340 14
2072 3468 14
225 312 11
403 101 10
1229 937 11
2424 1547 19
3479 309 12
1764 2427 12
2919 374 11
2241 1788 13
3433 3116 13
1544 2525 13
2386 705 9
2539 1404 19
2320 2098 16
3018 2279 18
1517 1423 5
88 528 17
625 1866 14
1274 2588 8
3539 373 17
442 1257 17
1100 308 11
2692 2702 10
2339 835 19
3286 40 13
2556 343 8
3621 1409 13
208 1717 5
1364 268 15
2066 3856 5
2538 421 15
824 122 18
2770 1299 11
2582 1950 16
1224 2272 12
1929 1360 8
187 1039 7
1676 1534 18
2045 3030 19
401 2682 10
2492 1939 17
662 1629 16
1890 2740 5
2318 2185 16
3293 2128 5
3765 1067 5
2272 2533 12
2212 2760 8
648 2238 10
2064 443 9
1138 3548 5
2522 3713 14
2933 1705 17
505 3597 18
140 1133 9
1915 3313 18
177 2134 12
3208 2276 13
1887 3538 7
3696 2848 10
1306 2182 15
1813 2992 5
2003 1749 12
1869 1718 5
1184 2163 13
906 3427 5
192 2640 16
1396 3260 11
2297 2941 13
3211 3826 18
3619 1464 8
891 765 6
729 2813 10
3680 1063 14
451 1366 6
1531 782 16
2666 263 6
1518 3543 10
1656 1790 19
2505 1801 20
1577 3805 13
1648 2958 19
2707 1895 8
3223 1406 17
1149 895 6
1977 575 17
1158 2412 11
940 1012 17
1309 697 13
754 1506 6
2284 3068 9
2280 3556 10
2812 2698 11
373 724 8
1093 2475 14
390 3245 6
3401 2830 7
2329 2361 11
1022 1307 17
2267 182 18
1542 1347 11
789 3352 14
1596 820 9
1174 2507 20
2260 1981 7
809 3234 20
173 3073 15
2367 3662 13
166 1187 19
2950 3784 11
3836 2798 7
1579 1739 18
1803 830 18
3472 2478 19
228 596 6
1781 1196 15
3744 3679 8
834 280 10
2566 3743 7
1794 2376 8
3 2243 18
340 1533 11
3116 3065 6
2594 2079 5
2051 1967 6
3534 3299 12
3054 1832 16
1482 2059 8
1761 2124 16
319 2407 20
1856 535 5
3578 2653 17
732 796 10
2020 1719 15
330 2248 18
1327 1475 16
1501 1759 9
2627 2994 12
399 3630 16
2083 923 17
2270 3263 5
20 946 8
2800 140 13
86 1516 10
639 722 8
3501 1378 5
281 3599 13
2552 47 11
3147 2024 16
2423 3192 9
3255 3320 5
3845 276 12
1302 3933 15
3673 673 16
1172 3007 7
3336 394 9
2992 2280 7
1750 1338 19
660 351 11
3816 2677 13
2764 751 11
125 1324 5
1218 3401 19
1417 2069 17
1411 2096 15
1796 1192 10
628 1910 12
758 631 14
3081 1216 7
3518 840 13
805 2293 18
2431 28 13
3553 3449 18
2418 1193 13
3343 3028 19
2197 3358 14
526 1292 6
2778 1824 6
411 1151 11
3216 899 16
1387 2774 5
2122 2708 18
2158 106 8
2165 653 6
2435 3667 6
3779 3545 16
405 2337 17
2587 1180 17
598 2338 15
2644 2266 17
3003 3149 6
2322 1503 10
988 3251 13
59 2143 16
3045 1990 54129
1267 1210 20
2350 3302 9
2983 335 8
275 922 11
870 1297 18
1166 3086 7
895 3239 19
1176 2506 19
461 3809 15
3257 921 7
1655 563 11
1135 1376 18
901 3317 20
3711 3831 7
1645 1452 7
2828 2535 9
2613 3806 8
3032 869 11
3587 249 1661
661 3364 14
1239 3214 12
2972 221 6
1543 1770 12
2442 385 12
1507 3742 7
3769 1403 7
1112 910 17
1783 3721 8
2840 1082 5
3464 2014 14
1071 704 15
1290 2115 20
380 3754 13
2298 2912 18
814 1510 7
241 1387 15
3552 249 13
2057 881 15
2326 863 14
718 516 19
3040 1666 15
2661 3857 20
2659 2011 6
3008 3628 18
1554 362 15
3613 897 13
252 250 5
465 738 20
1485 1943 8
1280 865 10
708 2981 5
1952 236 12
452 2207 10
1599 2599 20
1931 3416 6
1438 1664 5
1945 2465 9
1146 3355 16
749 2108 6
945 1450 15
2563 1867 11
3444 2846 10
2643 3793 10
50 1525 16
2912 3781 19
2433 619 14
498 3618 14
2340 3750 7
142 3899 5
3704 3794 18
256 363 7
2116 1334 9
2346 2167 6
293 1382 11
890 1322 10
3887 2309 17
3344 2878 18
3424 1022 8
2021 2862 19
1058 2451 18
3372 1987 10
2570 134 13
3001 267 16
2192 2366 13
3631 2389 11
2503 1955 19
3283 12 19
2926 384 13
1774 1709 10
445 114 18
2796 2724 7
3131 93 18
2597 1221 15
680 3247 12
1633 2454 11
724 1977 18
3689 1732 19
2398 3640 14
1894 1053 7
1935 1601 17
642 3135 10
689 2658 6
3921 396 14
717 991 8
2528 3326 14
2032 57 6
1839 2438 11
2017 1549 16
362 1116 19
3605 1344 12
372 2859 8
2763 1365 12
664 2109 9
315 2879 12
1430 2556 20
263 319 6
1412 2085 5
2844 1310 6
323 3218 9
3509 1095 5
522 2758 9
3702 1971 15
3669 1662 9
1419 1808 8
1283 2519 6
3139 1670 20
831 1239 8
132 3485 14
357 1064 16
3106 1701 13
376 556 11
220 2824 7
2005 721 5
1574 1726 18
361 2617 15
2648 1011 20
1759 3304 11
2257 841 15
1891 2316 10
3292 3529 16
3668 956 13
2780 976 5
2925 1245 15
1126 3252 15
2835 3122 12
3714 3722 14
494 2555 16
2345 1411 11
821 2857 7
163 336 11
3285 530 19
572 2983 14
2000 2354 12
3228 1491 18
3294 2674 8
3825 674 15
433 2979 12
2131 2041 13
67 2712 17
697 1222 10
3109 761 9
311 700 20
2196 3764 5
1377 2095 6
2129 2324 9
58 2562 7
850 226 7
748 3762 17
514 2761 8
3031 2212 7
2084 264 16
1689 930 13
2838 2549 13
463 2401 7
2702 1758 11
705 3216 7
2366 878 20
3686 2388 9
2543 150 17
2087 864 11
3383 709 15
3477 119 14
811 780 8
3739 2166 8
1603 518 6
3907 499 16
2534 1521 19
3752 3808 6
3525 3396 17
2519 1073 15
2470 2723 7
1392 2459 18
1362 3414 7
853 462 10
1116 2639 9
1627 3202 5
299 2624 5
2808 2005 14
2722 1437 18
694 275 12
123 2277 15
888 1502 18
3678 737 16
3699 2055 17
1056 1490 7
1313 307 5
3051 1968 15
2655 955 9
458 2565 16
2630 963 10
2637 3050 14
907 2414 17
1621 964 11
3812 1341 18
790 1797 6
2588 1460 14
52 938 10
1276 87 9
1652 1330 5
265 3905 13
1252 2033 19
1269 675 14
3431 2432 20
569 1032 5
658 585 7
720 3638 18
2279 2569 12
3362 2550 5
3025 69 5
74 1633 11
2301 2906 7
2620 593 11
631 1897 17
3138 1386 17
2884 1715 5
3833 3507 20
1228 620 17
464 1079 16
3355 2100 11
2190 3446 11
2568 3915 13
3212 1013 10
3868 2557 5
